domain,category_names
owndrives.com,"information-tech,media-sharing"
gearpatrol.com,shopping
appspot.com,business
researchresults.com,business
acop.com,business
adobe.com,business
ibm.com,"business,information-tech"
fedex.com,business
heavy.com,"business,education,entertainment"
decisionanalyst.com,business
schlesingerassociates.com,"business,education"
ups.com,"business,education"
cmix.com,"business,information-tech"
nvidia.com,business
minds.com,"business,education,entertainment"
hilton.com,travel
usanetwork.com,entertainment
reviewrobin.com,"business,education"
habcommunity.com,business
homedepot.com,shopping
outlook.com,"business,chat and messaging,information-tech"
amazonaws.com,"business,information-tech"
j.mp,business
ebay.com,shopping
vipon.com,shopping
myshopify.com,business
proprofs.com,"business,education"
wikia.com,entertainment
wwe.com,"business,entertainment"
redirectingat.com,business
victoriassecret.com,"adult,shopping"
questionpro.com,"business,education"
wufoo.com,business
clika.pe,business
extratv.com,entertainment
france.fr,travel
goo.gl,business
list-manage.com,black-list
mandrillapp.com,business
buff.ly,business
ebates.com,"business,shopping"
groupon.com,"business,shopping"
docusign.com,"business,information-tech"
convertkit-mail2.com,business
tangocard.com,"business,shopping"
naturallycurly.com,"business,education,entertainment"
nicequest.com,"business,education"
refinery29.com,"business,entertainment,news and media"
mypoints.com,"business,shopping"
macys.com,shopping
doubleclick.net,"advertising,business"
tampermonkey.net,"business,information-tech"
mturk.com,business
ytimg.com,content-server
priceline.com,travel
cbsnews.com,news and media
paidviewpoint.com,business
totaljerkface.com,"business,education,entertainment"
nytimes.com,"education,news and media"
wordreference.com,"business,education"
dresslily.com,shopping
bankofamerica.com,"business,economy and finance"
eonline.com,entertainment
zergnet.com,education
mathsisfun.com,education
wikipedia.org,education
billboard.com,"entertainment,streaming-media"
pandora.net,shopping
giantbomb.com,"entertainment,news and media"
softonic.com,business
inverse.com,"education,entertainment,news and media"
partycity.com,"entertainment,shopping"
gap.com,shopping
obsproject.com,"business,information-tech"
arcamax.com,"education,entertainment,news and media"
verizonwireless.com,"business,information-tech,shopping"
thepennyhoarder.com,"business,education,entertainment"
underarmour.com,shopping
babycenter.com,"education,health"
i-say.co,business
lowes.com,"business,shopping"
surveywriter.net,business
ymail.com,chat and messaging
playgwent.com,games
dhlglobalmail.com,business
metafilter.com,"blogs and personal,education,entertainment"
survata.com,business
prodegemr.com,"business,education"
dollarshaveclub.com,"business,shopping"
engageme.tv,"business,entertainment"
makersights.com,business
sextubespot.com,adult
manporn.xxx,adult
brandinstitute.com,"business,education"
narvar.com,business
nba.com,sports
viewpointforum.com,"business,education"
grabpoints.com,"business,shopping"
irbureau.com,"business,education"
usatoday.com,"business,entertainment,news and media"
flirt4free.com,"adult,business"
nypost.com,"entertainment,news and media"
itracks.com,"business,education"
zohopublic.com,parked
jibunu.com,"business,information-tech"
querous.com,"business,information-tech"
ok.co.uk,"business,entertainment"
wakoopa.com,business
livenation.com,"business,entertainment"
thinqonline.com,business
popculture.com,entertainment
jet.com,shopping
nasa.gov,"business,education,news and media"
uniqlo.com,shopping
ocucom.com,business
overstock.com,shopping
freshdesk.com,business
digitalspy.com,entertainment
wondershare.com,"business,information-tech"
wsj.com,"business,education,news and media"
blogger.com,"blogs and personal,business"
discordapp.com,"chat and messaging,information-tech"
morpace.com,business
gstatic.com,content-server
kickstarter.com,"information-tech,news and media"
hotelscombined.com,travel
archive.org,education
healthline.com,health
wetransfer.com,media-sharing
tomshardware.com,"business,information-tech"
pokemon.com,"entertainment,games"
lego.com,business
orcinternational.com,business
chelseasmessyapron.com,food and recipes
craftsy.com,"business,education,shopping"
cdc.gov,health
bookriot.com,entertainment
canva.com,"business,education"
userzoom.com,business
axs.com,business
macmillandictionary.com,education
uproxx.com,entertainment
myspace.com,entertainment
chowhound.com,food and recipes
zillow.com,real-estate
starwars.com,"entertainment,news and media"
supercoloring.com,"education,entertainment,shopping"
starbucks.com,"business,food and recipes"
techcrunch.com,"business,education,news and media"
ihg.com,travel
getresponse.com,business
gimmesomeoven.com,"business,food and recipes"
intapi.com,business
diply.com,"education,entertainment"
homeaway.com,travel
imdb.com,entertainment
wikihow.com,education
insightexpressai.com,business
truste.com,business
thechive.com,"adult,entertainment"
businessinsider.com,"business,news and media"
thedodo.com,"education,entertainment"
hollisterco.com,"business,shopping"
eye-square.com,"business,education"
dailydot.com,"education,entertainment,news and media"
mashable.com,"business,education,entertainment"
typeform.com,"business,education"
expedia.com,travel
khanacademy.org,education
spidermetrix.com,"business,education"
box.com,"business,information-tech"
mic.com,"business,education,entertainment"
themighty.com,"education,health"
hellogiggles.com,"education,entertainment"
avclub.com,entertainment
mineplex.com,"business,education"
adjust.com,business
gamerevolution.com,"games,news and media"
secondnexus.com,"education,entertainment,news and media"
hollywoodreporter.com,entertainment
discord.gg,business
thinkprogress.org,"education,entertainment"
getwizer.com,business
thewhoot.com.au,"business,education,food and recipes"
sticky.ai,business
smosh.com,entertainment
online-host.solutions,business
ilabinsight.com,parked
innovid.com,business
thoughtco.com,education
nj.com,"business,news and media"
gamefly.com,games
thespruce.com,"business,education,shopping"
techpowerup.com,"business,information-tech"
rafflecopter.com,"business,information-tech"
pocket-lint.com,"business,news and media,shopping"
androidpolice.com,"entertainment,information-tech,news and media"
gematsu.com,"entertainment,news and media"
pcworld.com,"information-tech,news and media"
imore.com,"business,information-tech,shopping"
bitmedianetwork.com,"business,information-tech"
androidauthority.com,"information-tech,news and media"
hexus.net,"business,information-tech,news and media"
versus.com,"information-tech,news and media,shopping"
thepiratebay.org,"illegal-content,media-sharing"
origin.com,"entertainment,games"
agame.com,games
clickworker.com,business
intuit.com,"business,economy and finance"
dict.cc,"business,education"
humblebundle.com,business
skype.com,"business,chat and messaging"
xda-developers.com,"business,information-tech"
razerzone.com,"business,information-tech"
accuweather.com,"business,education,news and media"
rottentomatoes.com,entertainment
iflscience.com,"business,education,news and media"
prnt.sc,business
gizmodo.com,"business,education,news and media"
engadget.com,"entertainment,information-tech,news and media"
leagueoflegends.com,"entertainment,games"
avsforum.com,"business,entertainment,shopping"
craftster.org,"business,education"
techradar.com,"information-tech,news and media"
steamgifts.com,entertainment
tinypic.com,media-sharing
indiegogo.com,business
patreon.com,business
guildwars2.com,"business,education,entertainment"
bonappetit.com,"business,food and recipes"
ssa.gov,"business,education"
bhphotovideo.com,"business,shopping"
theverge.com,"business,education,news and media"
slashfilm.com,entertainment
bitcointalk.org,"education,message-boards and forums"
notebookcheck.net,"information-tech,news and media"
arcgames.com,games
snopes.com,"education,entertainment"
truekey.com,"business,information-tech"
streamable.com,entertainment
gleam.io,business
indeed.com,job-related
amazon.co.uk,"business,shopping"
forbes.com,"business,economy and finance,news and media"
goodreads.com,"education,entertainment"
thesun.co.uk,entertainment
vg247.com,"entertainment,games"
weebly.com,business
piriform.com,"business,information-tech"
taleo.net,"business,information-tech"
primagames.com,"business,education,games"
adgaterewards.com,business
herokuapp.com,"business,information-tech"
gearbest.com,shopping
abload.de,"business,education,media-sharing"
trivago.com,"business,travel"
metrolyrics.com,entertainment
gamespot.com,"games,news and media"
camelcamelcamel.com,shopping
blu-ray.com,shopping
codecademy.com,"business,education,information-tech"
ubi.com,"business,games"
bhg.com,"business,food and recipes,shopping"
tomsguide.com,"information-tech,shopping"
polygon.com,"education,entertainment"
yelp.com,travel
linustechtips.com,"business,information-tech,message-boards and forums"
netgear.com,business
streamkiste.tv,entertainment
allacronyms.com,education
shouldiremoveit.com,"business,information-tech"
epicgames.com,games
sparknotes.com,education
gyazo.com,"business,media-sharing"
sciencedaily.com,education
umblr.com,"blogs and personal,business,education"
plays.tv,games
gaijin.net,games
wooga.com,"business,education"
vive.com,business
fleshlight.com,"business,shopping"
mcdonalds.com,business
leafly.com,"drugs,education"
steamdb.info,"adult,entertainment"
strategywiki.org,"education,games"
staples.com,shopping
geek.com,"entertainment,news and media"
gamerant.com,"entertainment,games"
bestdeals.today,shopping
irs.gov,"business,education"
us.com,parked
paypal-prepaid.com,"business,economy and finance"
gallup.com,"business,education"
finder.com.au,"business,economy and finance"
techlicious.com,business
mercuryanalytics.com,"business,education"
bittrex.com,"business,economy and finance"
ift.tt,business
cryptocompare.com,"business,economy and finance"
shopperapproved.com,business
downdetector.com,business
biblestudytools.com,"education,religion"
partypoker.com,"gambling,games"
bundesliga.com,"business,sports"
audiotrimmer.com,"business,information-tech"
tradingview.com,"business,economy and finance"
slack-redir.net,business
xsplit.com,"business,information-tech,streaming-media"
whosampled.com,streaming-media
history.com,"education,entertainment"
computerhope.com,"business,education,information-tech"
azurewebsites.net,"business,information-tech"
livescore.com,"business,sports"
webex.com,"business,information-tech"
pdftoimage.com,"education,media-sharing"
steemit.com,"business,entertainment"
baidata.com,business
skrill.com,business
adultfriendfinder.com,personals
soccerway.com,sports
asos.com,shopping
livejasmin.com,adult
messenger.com,"business,chat and messaging"
sassieshop.com,business
sciencedirect.com,education
metro.co.uk,"business,education,news and media"
bandsintown.com,entertainment
bloody-disgusting.com,entertainment
